CCR-I Success Rate,CCR-T Success Rate,CCR-Update Success Rate,Gx-RAR Success Rate,Rx - AAR Success Rate,Rx - RAR Success Rate,Rx-ASR Success rate,Rx-STR Success rate
100,100,100,99.98,99.99,99.97,99.7,100
100,100,100,99.98,100,99.91,99.45,100
100,100,100,99.48,99.99,99.93,99.8,100
100,100,100,99.98,100,99.97,99.94,100
100,100,100,99.98,100,99.88,99.72,100
100,100,100,99.98,100,99.97,99.77,100
100,100,100,99.99,99.99,99.9,99.7,100
100,100,100,99.98,100,99.89,99.96,100
100,100,100,99.98,99.99,99.95,99.81,100
100,100,100,99.96,99.99,99.89,99.65,100
100,100,100,99.98,99.99,99.97,100,100
100,100,100,99.99,100,99.97,99.93,100
100,100,100,99.99,100,99.82,99.97,100
100,100,100,99.99,100,99.97,100,100
100,100,100,99.99,100,99.9,99.74,100
100,100,100,99.99,100,99.97,99.94,100
100,100,100,99.99,100,99.97,99.94,100
100,100,100,99.99,99.99,99.97,99.94,100
100,100,100,99.99,99.99,99.91,99.92,100
100,100,100,99.99,99.99,99.85,99.89,100
100,100,100,99.99,100,99.89,99.87,100
100,100,100,99.99,99.99,99.86,99.88,100
100,100,100,99.99,99.99,99.9,99.83,100
100,100,100,99.99,100,99.93,99.82,100
100,100,100,99.99,99.99,99.92,99.88,100
100,100,100,99.99,100,99.93,99.9,100
100,100,100,99.99,100,99.97,99.85,100
100,100,100,99.99,100,99.95,99.81,100
100,100,100,99.99,100,99.96,99.88,100
100,100,100,99.99,99.99,99.94,99.87,100
100,100,100,99.99,99.99,99.93,99.85,100
100,100,100,99.99,100,99.94,99.8,100
100,100,100,99.99,99.99,99.95,99.88,100
100,100,100,99.99,99.99,99.95,99.83,100
100,100,100,99.99,99.99,99.94,99.81,100
100,100,100,99.99,99.99,99.96,99.84,100
100,100,100,99.99,99.99,99.95,99.82,100
100,100,100,99.99,100,99.97,99.89,100
100,100,100,99.99,99.99,99.96,99.86,100
100,100,100,99.99,99.99,99.96,99.86,100
100,100,100,99.98,99.99,99.96,99.82,100
100,100,100,99.98,100,99.95,99.87,100
100,100,100,99.98,99.99,99.95,99.86,100
100,100,100,99.98,99.99,99.94,99.78,100
100,100,100,99.98,99.99,99.97,99.85,100
100,100,100,99.98,99.99,99.94,99.81,100
100,100,100,99.98,99.99,99.95,99.82,100
100,100,100,99.98,99.99,99.94,99.88,100
100,100,100,99.98,99.99,99.95,99.85,100
100,100,100,99.98,99.99,99.96,99.88,100
100,100,100,99.98,99.99,99.95,99.81,100
100,100,100,99.98,99.99,99.95,99.84,100
100,100,100,99.98,100,99.96,99.84,100
100,100,100,99.98,99.99,99.96,99.84,100
100,100,100,99.98,99.99,99.96,99.85,100
100,100,100,99.98,100,99.96,99.79,100
100,100,100,99.98,99.99,99.95,99.79,100
100,100,100,99.98,99.99,99.95,99.88,100
100,100,100,99.98,100,99.96,99.86,100
100,100,100,99.98,99.99,99.95,99.83,100
100,100,100,99.98,100,99.96,99.83,100
100,100,100,99.98,99.99,99.94,99.86,100
100,100,100,99.98,100,99.95,99.88,100
100,100,100,99.98,99.99,99.95,99.9,100
100,100,100,99.98,99.99,99.95,99.87,100
100,100,100,99.98,99.99,99.95,99.82,100
100,100,100,99.98,99.99,99.94,99.8,100
100,100,100,99.98,100,99.94,99.9,100
100,100,100,99.98,99.99,99.95,99.84,100
100,100,100,99.98,99.99,99.95,99.89,100
100,100,100,99.98,100,99.97,99.83,100
100,100,100,99.98,100,99.96,99.84,100
100,100,100,99.98,100,99.96,99.82,100
100,100,100,99.98,99.99,99.96,99.88,100
100,100,100,99.98,99.99,99.94,99.85,100
100,100,100,99.98,99.99,99.95,99.86,100
100,100,100,99.98,99.99,99.95,99.85,100
100,100,100,99.98,99.99,99.95,99.87,100
100,100,100,99.98,99.99,99.95,99.81,100
100,100,100,99.98,99.99,99.95,99.86,100
100,100,100,99.98,99.99,99.96,99.84,100
100,100,100,99.98,99.99,99.96,99.89,100
100,100,100,99.98,99.99,99.95,99.88,100
100,100,100,99.98,100,99.95,99.85,100
98.82,100,100,99.95,99.99,99.96,99.86,100
99.99,100,100,99.98,99.99,99.94,99.85,100
100,100,100,99.98,99.99,99.96,99.8,100
100,100,100,99.98,99.99,99.96,99.88,100
100,100,100,99.99,99.99,99.96,99.8,100
100,100,100,99.99,99.99,99.94,99.86,100
100,100,100,99.99,99.99,99.95,99.88,100
100,100,100,99.98,100,99.96,99.82,100
100,100,100,99.98,99.99,99.94,99.71,100
100,100,100,99.98,99.99,99.95,99.7,100
100,100,100,99.99,100,99.97,99.95,100
100,100,100,99.98,100,99.93,99.85,100
